Site Occupation Location,Toponyms,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area
984,Farinone,A,Early Imperial Period,8,-30,100,130,0.1
984,Farinone,A,Mid-Imperial Period,9,100,300,200,0.1
984,Farinone,A,Late Imperial Period,10,300,500,200,0.1
985,Colle Lungo,A,Archaic Period,6,-500,-350,150,0.1
985,Colle Lungo,A,Republican Period,7,-350,-30,320,0.1
985,Colle Lungo,A,Early Imperial Period,8,-30,100,130,0.1
985,Colle Lungo,A,Mid-Imperial Period,9,100,300,200,0.1
985,Colle Lungo,A,Late Imperial Period,10,300,500,200,0.1
986,Colle Lungo,A,Late Iron Age,5,-600,-580,20,0.1
986,Colle Lungo,A,Archaic Period,6,-580,-350,230,0.1
986,Colle Lungo,A,Republican Period,7,-350,-30,320,0.1
986,Colle Lungo,A,Early Imperial Period,8,-30,100,130,0.1
987,Colle Lungo,A,Archaic Period,6,-500,-350,150,0.30000001
987,Colle Lungo,A,Republican Period,7,-350,-30,320,0.30000001
987,Colle Lungo,A,Early Imperial Period,8,-30,100,130,0.30000001
987,Colle Lungo,A,Mid-Imperial Period,9,100,300,200,0.30000001
987,Colle Lungo,A,Late Imperial Period,10,300,500,200,0.30000001
988,,A,Archaic Period,6,-500,-350,150,0.1
988,,A,Republican Period,7,-350,-30,320,0.1
989,,A,Late Iron Age,5,-600,-580,20,0.2
989,,A,Archaic Period,6,-580,-350,230,0.2
989,,A,Republican Period,7,-350,-30,320,0.2
989,,A,Early Imperial Period,8,-30,100,130,0.2
989,,A,Mid-Imperial Period,9,100,300,200,0.2
990,M. di S. Pietro,A,Archaic Period,6,-500,-350,150,0.2
990,M. di S. Pietro,A,Republican Period,7,-350,-30,320,0.2
990,M. di S. Pietro,A,Early Imperial Period,8,-30,100,130,0.2
990,M. di S. Pietro,A,Mid-Imperial Period,9,100,300,200,0.2
990,M. di S. Pietro,A,Late Imperial Period,10,300,500,200,0.2
991,Colonnacce di sopra,A,Early Bronze Age,1,-2300,-1700,600,0.2
991,Colonnacce di sopra,A,Middle Bronze Age,2,-1700,-1300,400,0.2
991,Colonnacce di sopra,A,Late Bronze Age,3,-1300,-1020,280,0.2
991,Colonnacce di sopra,A,Early Iron Age,4,-1020,-1000,20,0.2
991,Colonnacce di sopra,B,Republican Period,7,-100,-30,70,0.2
991,Colonnacce di sopra,B,Early Imperial Period,8,-30,100,130,0.2
991,Colonnacce di sopra,B,Mid-Imperial Period,9,100,300,200,0.2
992,le Colonnacce,A,Late Bronze Age,3,-1200,-1020,180,0.1
992,le Colonnacce,A,Early Iron Age,4,-1020,-750,270,0.1
992,le Colonnacce,A,Late Iron Age,5,-750,-580,170,0.1
992,le Colonnacce,A,Archaic Period,6,-580,-350,230,0.1
992,le Colonnacce,A,Republican Period,7,-350,-100,250,0.1
993,Monte la Ginestra,A,Archaic Period,6,-500,-350,150,0.1
993,Monte la Ginestra,A,Republican Period,7,-350,-30,320,0.1
994,,A,Late Iron Age,5,-600,-580,20,0.1
994,,A,Archaic Period,6,-580,-500,80,0.1
994,,B,Republican Period,7,-200,-30,170,0.1
995,Vitellara,A,Early Bronze Age,1,-2300,-1700,600,0.2
995,Vitellara,A,Middle Bronze Age,2,-1700,-1300,400,0.2
995,Vitellara,A,Late Bronze Age,3,-1300,-1020,280,0.2
995,Vitellara,A,Early Iron Age,4,-1020,-1000,20,0.2
995,Vitellara,B,Late Iron Age,5,-600,-580,20,0.2
995,Vitellara,B,Archaic Period,6,-580,-500,80,0.2
996,Vitellara,A,Late Iron Age,5,-600,-580,20,0.2
996,Vitellara,A,Archaic Period,6,-580,-350,230,0.2
996,Vitellara,A,Republican Period,7,-350,-30,320,0.2
996,Vitellara,A,Early Imperial Period,8,-30,100,130,0.2
996,Vitellara,A,Mid-Imperial Period,9,100,300,200,0.2
996,Vitellara,A,Late Imperial Period,10,300,500,200,0.2
997,S. Antonio di Mezzo,A,Late Iron Age,5,-600,-580,20,0.1
997,S. Antonio di Mezzo,A,Archaic Period,6,-580,-350,230,0.1
997,S. Antonio di Mezzo,A,Republican Period,7,-350,-30,320,0.1
997,S. Antonio di Mezzo,A,Early Imperial Period,8,-30,100,130,0.1
997,S. Antonio di Mezzo,A,Mid-Imperial Period,9,100,300,200,0.1
998,S. Antonio di Mezzo,A,Early Imperial Period,8,-30,100,130,0.1
999,S. Antonio di Mezzo,A,Republican Period,7,-200,-30,170,0.1
999,S. Antonio di Mezzo,A,Early Imperial Period,8,-30,100,130,0.1
1000,S. Antonio di Mezzo,A,Republican Period,7,-200,-30,170,0.1
1000,S. Antonio di Mezzo,A,Early Imperial Period,8,-30,100,130,0.1
1001,S. Antonio di sopra,A,Republican Period,7,-200,-30,170,0.30000001
1001,S. Antonio di sopra,A,Early Imperial Period,8,-30,100,130,0.30000001
1002,S. Antonio di sopra,A,Early Imperial Period,8,-30,100,130,0.1
1003,S. Antonio di sopra,A,Archaic Period,6,-500,-350,150,0.5
1003,S. Antonio di sopra,A,Republican Period,7,-350,-30,320,0.5
1004,C.le Malvicino,A,Late Iron Age,5,-600,-580,20,0.30000001
1004,C.le Malvicino,A,Archaic Period,6,-580,-500,80,0.30000001
1004,C.le Malvicino,B,Republican Period,7,-100,-30,70,0.30000001
1004,C.le Malvicino,B,Early Imperial Period,8,-30,100,130,0.30000001
1005,C.le Malvicino,A,Early Bronze Age,1,-2300,-1700,600,0.5
1005,C.le Malvicino,A,Middle Bronze Age,2,-1700,-1300,400,0.5
1005,C.le Malvicino,A,Late Bronze Age,3,-1300,-1020,280,0.5
1005,C.le Malvicino,A,Early Iron Age,4,-1020,-1000,20,0.5
1005,C.le Malvicino,B,Late Iron Age,5,-600,-580,20,0.5
1005,C.le Malvicino,B,Archaic Period,6,-580,-350,230,0.5
1005,C.le Malvicino,B,Republican Period,7,-350,-30,320,0.5
1005,C.le Malvicino,B,Early Imperial Period,8,-30,100,130,0.5
1005,C.le Malvicino,B,Mid-Imperial Period,9,100,300,200,0.5
1006,Riserva Nuova,A,Republican Period,7,-100,-30,70,0.1
1006,Riserva Nuova,A,Early Imperial Period,8,-30,100,130,0.1
1007,,A,Republican Period,7,-200,-30,170,0.2
1007,,A,Early Imperial Period,8,-30,100,130,0.2
1007,,A,Mid-Imperial Period,9,100,200,100,0.2
1008,Porta Metronia,A,Republican Period,7,-200,-30,170,0.1
1009,Monte Centrone,A,Early Imperial Period,8,-30,100,130,0.1
1009,Monte Centrone,A,Mid-Imperial Period,9,100,300,200,0.1
1009,Monte Centrone,A,Late Imperial Period,10,300,500,200,0.1
1010,fosso di Anselmo,A,Archaic Period,6,-500,-350,150,0.2
1010,fosso di Anselmo,A,Republican Period,7,-350,-30,320,0.2
1010,fosso di Anselmo,A,Early Imperial Period,8,-30,100,130,0.2
1010,fosso di Anselmo,A,Mid-Imperial Period,9,100,300,200,0.2
1011,,A,Republican Period,7,-100,-30,70,0.2
1011,,A,Early Imperial Period,8,-30,100,130,0.2
1011,,A,Mid-Imperial Period,9,100,300,200,0.2
1012,Valle del Corno,A,Republican Period,7,-100,-30,70,0.40000001
1012,Valle del Corno,A,Early Imperial Period,8,-30,100,130,0.40000001
1012,Valle del Corno,A,Mid-Imperial Period,9,100,300,200,0.40000001
1013,Rio dei Lucernari di Malvicino,A,Late Iron Age,5,-700,-580,120,0.2
1013,Rio dei Lucernari di Malvicino,A,Archaic Period,6,-580,-500,80,0.2
1014,Monte Cacchio,A,Republican Period,7,-100,-30,70,0.050000001
1014,Monte Cacchio,A,Early Imperial Period,8,-30,100,130,0.050000001
1014,Monte Cacchio,A,Mid-Imperial Period,9,100,300,200,0.050000001
1015,Rio dei Lucernari di Malvicino,A,Republican Period,7,-200,-30,170,0.30000001
1015,Rio dei Lucernari di Malvicino,A,Early Imperial Period,8,-30,100,130,0.30000001
1015,Rio dei Lucernari di Malvicino,A,Mid-Imperial Period,9,100,300,200,0.30000001
1016,Rio dei Lucernari di Malvicino,A,Republican Period,7,-200,-30,170,0.1
1016,Rio dei Lucernari di Malvicino,A,Early Imperial Period,8,-30,100,130,0.1
1016,Rio dei Lucernari di Malvicino,A,Mid-Imperial Period,9,100,300,200,0.1
1017,Monti del Sasso,A,Republican Period,7,-200,-30,170,0.2
1017,Monti del Sasso,A,Early Imperial Period,8,-30,100,130,0.2
1017,Monti del Sasso,A,Mid-Imperial Period,9,100,300,200,0.2
1018,Monte Cacchio,A,Early Imperial Period,8,-30,100,130,0.2
1018,Monte Cacchio,A,Mid-Imperial Period,9,100,300,200,0.2
1018,Monte Cacchio,A,Late Imperial Period,10,300,500,200,0.2
1019,,A,Early Imperial Period,8,-30,100,130,0.1
1019,,A,Mid-Imperial Period,9,100,300,200,0.1
1019,,A,Late Imperial Period,10,300,500,200,0.1
1020,Monti del Sasso,A,Late Iron Age,5,-600,-580,20,0.1
1020,Monti del Sasso,A,Archaic Period,6,-580,-500,80,0.1
1021,Monte dell'Arrone,A,Republican Period,7,-100,-30,70,0.1
1021,Monte dell'Arrone,A,Early Imperial Period,8,-30,100,130,0.1
1022,Monte dell'Arrone,A,Republican Period,7,-200,-30,170,0.1
1022,Monte dell'Arrone,A,Early Imperial Period,8,-30,100,130,0.1
1023,Monte dell'Arrone,A,Early Imperial Period,8,-30,100,130,0.1
1024,Monte Tondo,A,Late Iron Age,5,-600,-580,20,0.5
1024,Monte Tondo,A,Archaic Period,6,-580,-500,80,0.5
1025,Monte Tondo,A,Late Iron Age,5,-600,-580,20,0.1
1025,Monte Tondo,A,Archaic Period,6,-580,-350,230,0.1
1025,Monte Tondo,A,Republican Period,7,-350,-30,320,0.1
1025,Monte Tondo,A,Early Imperial Period,8,-30,100,130,0.1
1025,Monte Tondo,A,Mid-Imperial Period,9,100,300,200,0.1
1025,Monte Tondo,A,Late Imperial Period,10,300,500,200,0.1
1026,,A,Late Iron Age,5,-600,-580,20,0.30000001
1026,,A,Archaic Period,6,-580,-500,80,0.30000001
1026,,B,Republican Period,7,-200,-30,170,0.30000001
1027,Ceccanibbo,A,Late Iron Age,5,-600,-580,20,0.1
1027,Ceccanibbo,A,Archaic Period,6,-580,-500,80,0.1
1028,,A,Republican Period,7,-200,-30,170,0.40000001
1028,,A,Early Imperial Period,8,-30,100,130,0.40000001
1028,,A,Mid-Imperial Period,9,100,300,200,0.40000001
1028,,A,Late Imperial Period,10,300,500,200,0.40000001
1029,Valle dei Ladri,A,Late Iron Age,5,-600,-580,20,1.5
1029,Valle dei Ladri,A,Archaic Period,6,-580,-500,80,1.5
1029,Valle dei Ladri,B,Republican Period,7,-100,-30,70,1.5
1029,Valle dei Ladri,B,Early Imperial Period,8,-30,100,130,1.5
1029,Valle dei Ladri,B,Mid-Imperial Period,9,100,300,200,1.5
1029,Valle dei Ladri,B,Late Imperial Period,10,300,500,200,1.5
1030,,A,Early Imperial Period,8,-30,100,130,0.1
1030,,A,Mid-Imperial Period,9,100,300,200,0.1
1030,,A,Late Imperial Period,10,300,500,200,0.1
1031,Ospedaletto,A,Late Iron Age,5,-600,-580,20,0.1
1031,Ospedaletto,A,Archaic Period,6,-580,-350,230,0.1
1031,Ospedaletto,A,Republican Period,7,-350,-30,320,0.1
1032,Monte Muletto,A,Early Imperial Period,8,-30,100,130,0.2
1032,Monte Muletto,A,Mid-Imperial Period,9,100,300,200,0.2
1032,Monte Muletto,A,Late Imperial Period,10,300,500,200,0.2
1033,Monte Muletto,A,Republican Period,7,-100,-30,70,0.5
1033,Monte Muletto,A,Early Imperial Period,8,-30,100,130,0.5
1033,Monte Muletto,A,Mid-Imperial Period,9,100,300,200,0.5
1033,Monte Muletto,A,Late Imperial Period,10,300,500,200,0.5
1034,,A,Early Imperial Period,8,-30,100,130,0.2
1034,,A,Mid-Imperial Period,9,100,300,200,0.2
1034,,A,Late Imperial Period,10,300,500,200,0.2
1035,,A,Late Iron Age,5,-600,-580,20,0.30000001
1035,,A,Archaic Period,6,-580,-500,80,0.30000001
1035,,B,Republican Period,7,-100,-30,70,0.30000001
1035,,B,Early Imperial Period,8,-30,100,130,0.30000001
1036,,A,Late Iron Age,5,-600,-580,20,0.30000001
1036,,A,Archaic Period,6,-580,-350,230,0.30000001
1036,,A,Republican Period,7,-350,-30,320,0.30000001
1037,,A,Republican Period,7,-100,-30,70,0.40000001
1037,,A,Early Imperial Period,8,-30,100,130,0.40000001
1037,,A,Mid-Imperial Period,9,100,300,200,0.40000001
1037,,A,Late Imperial Period,10,300,500,200,0.40000001
1038,,A,Republican Period,7,-200,-30,170,0.1
1038,,A,Early Imperial Period,8,-30,100,130,0.1
1038,,A,Mid-Imperial Period,9,100,300,200,0.1
1039,,A,Late Iron Age,5,-600,-580,20,0.2
1039,,A,Archaic Period,6,-580,-500,80,0.2
1049,,A,Republican Period,7,-100,-30,70,0.2
1049,,A,Early Imperial Period,8,-30,100,130,0.2
1050,,A,Republican Period,7,-200,-30,170,0.40000001
1051,Riserva Grande,A,Late Iron Age,5,-600,-580,20,0.1
1051,Riserva Grande,A,Archaic Period,6,-580,-500,80,0.1
1051,Riserva Grande,B,Republican Period,7,-200,-30,170,0.1
1052,,A,Late Iron Age,5,-600,-580,20,3
1052,,A,Archaic Period,6,-580,-500,80,3
1052,,B,Republican Period,7,-200,-30,170,3
1052,,B,Early Imperial Period,8,-30,100,130,3
1052,,B,Mid-Imperial Period,9,100,300,200,3
1052,,B,Late Imperial Period,10,300,500,200,3
1053,,A,Republican Period,7,-200,-30,170,0.80000001
1053,,A,Early Imperial Period,8,-30,100,130,0.80000001
1053,,A,Mid-Imperial Period,9,100,300,200,0.80000001
1053,,A,Late Imperial Period,10,300,500,200,0.80000001
1054,,A,Mid-Imperial Period,9,100,300,200,0.1
1055,Tenuta della Paola,A,Early Imperial Period,8,-30,100,130,0.69999999
1055,Tenuta della Paola,A,Mid-Imperial Period,9,100,300,200,0.69999999
1055,Tenuta della Paola,A,Late Imperial Period,10,300,500,200,0.69999999
1056,Tenuta della Paola,A,Late Iron Age,5,-600,-580,20,0.30000001
1056,Tenuta della Paola,A,Archaic Period,6,-580,-350,230,0.30000001
1056,Tenuta della Paola,A,Republican Period,7,-350,-30,320,0.30000001
1056,Tenuta della Paola,A,Early Imperial Period,8,-30,100,130,0.30000001
1056,Tenuta della Paola,A,Mid-Imperial Period,9,100,300,200,0.30000001
1057,Tenuta della Paola,A,Late Iron Age,5,-600,-580,20,0.5
1057,Tenuta della Paola,A,Archaic Period,6,-580,-500,80,0.5
1057,Tenuta della Paola,B,Early Imperial Period,8,-30,100,130,0.5
1057,Tenuta della Paola,B,Mid-Imperial Period,9,100,300,200,0.5
1057,Tenuta della Paola,B,Late Imperial Period,10,300,500,200,0.5
1058,,A,Republican Period,7,-200,-30,170,0.1
1058,,B,Late Imperial Period,10,400,500,100,0.1
1059,,A,Late Iron Age,5,-600,-580,20,0.1
1059,,A,Archaic Period,6,-580,-350,230,0.1
1059,,A,Republican Period,7,-350,-30,320,0.1
1060,,A,Republican Period,7,-200,-30,170,0.1
1060,,A,Early Imperial Period,8,-30,100,130,0.1
1060,,A,Mid-Imperial Period,9,100,300,200,0.1
1061,,A,Late Iron Age,5,-600,-580,20,0.40000001
1061,,A,Archaic Period,6,-580,-350,230,0.40000001
1061,,A,Republican Period,7,-350,-30,320,0.40000001
1061,,A,Early Imperial Period,8,-30,100,130,0.40000001
1061,,A,Mid-Imperial Period,9,100,300,200,0.40000001
1061,,A,Late Imperial Period,10,300,500,200,0.40000001
1062,I Casaletti,A,Early Imperial Period,8,-30,100,130,0.40000001
1062,I Casaletti,A,Mid-Imperial Period,9,100,300,200,0.40000001
1062,I Casaletti,A,Late Imperial Period,10,300,500,200,0.40000001
1063,,A,Late Iron Age,5,-600,-580,20,0.5
1063,,A,Archaic Period,6,-580,-500,80,0.5
1064,Riserva della Paola,A,Republican Period,7,-100,-30,70,0.30000001
1064,Riserva della Paola,A,Early Imperial Period,8,-30,100,130,0.30000001
1065,,A,Late Iron Age,5,-600,-580,20,0.1
1065,,A,Archaic Period,6,-580,-350,230,0.1
1065,,A,Republican Period,7,-350,-30,320,0.1
1066,,A,Late Iron Age,5,-600,-580,20,0.5
1066,,A,Archaic Period,6,-580,-500,80,0.5
1067,,A,Late Iron Age,5,-600,-580,20,0.5
1067,,A,Archaic Period,6,-580,-500,80,0.5
1067,,B,Republican Period,7,-200,-30,170,0.5
1067,,B,Early Imperial Period,8,-30,100,130,0.5
1067,,B,Mid-Imperial Period,9,100,300,200,0.5
1068,Cecanibbio,A,Republican Period,7,-200,-30,170,1.5
1068,Cecanibbio,A,Early Imperial Period,8,-30,100,130,1.5
1068,Cecanibbio,A,Mid-Imperial Period,9,100,300,200,1.5
1069,La Polledrara,A,Republican Period,7,-200,-30,170,0.5
1070,La Polledrara,A,Republican Period,7,-100,-30,70,1
1070,La Polledrara,A,Early Imperial Period,8,-30,100,130,1
1070,La Polledrara,A,Mid-Imperial Period,9,100,300,200,1
1071,Casotto,A,Republican Period,7,-300,-100,200,0.1
1072,Casotto,A,Late Iron Age,5,-600,-580,20,0.30000001
1072,Casotto,A,Archaic Period,6,-580,-500,80,0.30000001
1072,Casotto,B,Mid-Imperial Period,9,200,300,100,0.30000001
1072,Casotto,B,Late Imperial Period,10,300,500,200,0.30000001
1073,Casotto,A,Late Iron Age,5,-600,-580,20,0.5
1073,Casotto,A,Archaic Period,6,-580,-350,230,0.5
1073,Casotto,A,Republican Period,7,-350,-30,320,0.5
1074,Casotto,A,Late Iron Age,5,-600,-580,20,0.40000001
1074,Casotto,A,Archaic Period,6,-580,-350,230,0.40000001
1074,Casotto,A,Republican Period,7,-350,-30,320,0.40000001
1074,Casotto,A,Early Imperial Period,8,-30,100,130,0.40000001
1074,Casotto,A,Mid-Imperial Period,9,100,300,200,0.40000001
1075,Casotto,A,Late Iron Age,5,-600,-580,20,0.2
1075,Casotto,A,Archaic Period,6,-580,-350,230,0.2
1075,Casotto,A,Republican Period,7,-350,-30,320,0.2
1076,,A,Late Iron Age,5,-600,-580,20,0.1
1076,,A,Archaic Period,6,-580,-350,230,0.1
1076,,A,Republican Period,7,-350,-30,320,0.1
1076,,A,Early Imperial Period,8,-30,100,130,0.1
1076,,A,Mid-Imperial Period,9,100,300,200,0.1
1076,,A,Late Imperial Period,10,300,500,200,0.1
1077,Ovile,A,Late Iron Age,5,-600,-580,20,1
1077,Ovile,A,Archaic Period,6,-580,-500,80,1
1077,Ovile,B,Early Imperial Period,8,-30,100,130,1
1077,Ovile,B,Mid-Imperial Period,9,100,300,200,1
1077,Ovile,B,Late Imperial Period,10,300,500,200,1
1078,Ovile,A,Late Iron Age,5,-600,-580,20,0.30000001
1078,Ovile,A,Archaic Period,6,-580,-500,80,0.30000001
1078,Ovile,B,Early Imperial Period,8,-30,100,130,0.30000001
1078,Ovile,B,Mid-Imperial Period,9,100,300,200,0.30000001
1078,Ovile,B,Late Imperial Period,10,300,500,200,0.30000001
1079,Ovile,A,Late Iron Age,5,-600,-580,20,0.2
1079,Ovile,A,Archaic Period,6,-580,-500,80,0.2
1080,,A,Late Iron Age,5,-600,-580,20,0.1
1080,,A,Archaic Period,6,-580,-500,80,0.1
1080,,B,Republican Period,7,-200,-30,170,0.1
1081,,A,Early Bronze Age,1,-2300,-1700,600,0.5
1081,,A,Middle Bronze Age,2,-1700,-1300,400,0.5
1081,,A,Late Bronze Age,3,-1300,-1020,280,0.5
1081,,A,Early Iron Age,4,-1020,-1000,20,0.5
1081,,B,Archaic Period,6,-500,-350,150,0.5
1081,,B,Republican Period,7,-350,-30,320,0.5
1081,,B,Early Imperial Period,8,-30,100,130,0.5
1081,,B,Mid-Imperial Period,9,100,300,200,0.5
1081,,B,Late Imperial Period,10,300,500,200,0.5
1082,Serra di Valle Galeria,A,Late Iron Age,5,-600,-580,20,0.2
1082,Serra di Valle Galeria,A,Archaic Period,6,-580,-500,80,0.2
1082,Serra di Valle Galeria,B,Early Imperial Period,8,-30,100,130,0.2
1082,Serra di Valle Galeria,B,Mid-Imperial Period,9,100,300,200,0.2
1082,Serra di Valle Galeria,B,Late Imperial Period,10,300,500,200,0.2
1083,,A,Late Iron Age,5,-600,-580,20,0.5
1083,,A,Archaic Period,6,-580,-500,80,0.5
1083,,B,Early Imperial Period,8,-30,100,130,0.5
1083,,B,Mid-Imperial Period,9,100,300,200,0.5
1083,,B,Late Imperial Period,10,300,500,200,0.5
1084,Monte Procoio,A,Late Iron Age,5,-600,-580,20,0.1
1084,Monte Procoio,A,Archaic Period,6,-580,-350,230,0.1
1084,Monte Procoio,A,Republican Period,7,-350,-30,320,0.1
1084,Monte Procoio,A,Early Imperial Period,8,-30,100,130,0.1
1084,Monte Procoio,A,Mid-Imperial Period,9,100,300,200,0.1
1084,Monte Procoio,A,Late Imperial Period,10,300,500,200,0.1
1085,Monte Procoio,A,Middle Bronze Age,2,-1700,-1300,400,0.1
1085,Monte Procoio,A,Late Bronze Age,3,-1300,-1020,280,0.1
1085,Monte Procoio,A,Early Iron Age,4,-1020,-1000,20,0.1
1085,Monte Procoio,B,Late Iron Age,5,-600,-580,20,0.1
1085,Monte Procoio,B,Archaic Period,6,-580,-500,80,0.1
1085,Monte Procoio,C,Republican Period,7,-300,-100,200,0.1
1086,Riserva delle Capanne,A,Republican Period,7,-200,-30,170,1.4
1086,Riserva delle Capanne,A,Early Imperial Period,8,-30,100,130,1.4
1086,Riserva delle Capanne,A,Mid-Imperial Period,9,100,300,200,1.4
1087,Riserva delle Capanne,A,Republican Period,7,-200,-30,170,0.30000001
1087,Riserva delle Capanne,A,Early Imperial Period,8,-30,100,130,0.30000001
1087,Riserva delle Capanne,A,Mid-Imperial Period,9,100,300,200,0.30000001
1087,Riserva delle Capanne,A,Late Imperial Period,10,300,500,200,0.30000001
1088,le Tre Vallette,A,Late Iron Age,5,-600,-580,20,0.5
1088,le Tre Vallette,A,Archaic Period,6,-580,-500,80,0.5
1088,le Tre Vallette,B,Republican Period,7,-200,-100,100,0.5
1089,,A,Late Iron Age,5,-600,-580,20,0.1
1089,,A,Archaic Period,6,-580,-500,80,0.1
1089,,B,Republican Period,7,-200,-30,170,0.1
1089,,B,Early Imperial Period,8,-30,100,130,0.1
1089,,B,Mid-Imperial Period,9,100,300,200,0.1
1089,,B,Late Imperial Period,10,300,500,200,0.1
1090,le Tre Vallette,A,Republican Period,7,-200,-30,170,0.30000001
1090,le Tre Vallette,A,Early Imperial Period,8,-30,100,130,0.30000001
1091,,A,Republican Period,7,-200,-30,170,0.40000001
1091,,A,Early Imperial Period,8,-30,100,130,0.5
1091,,A,Mid-Imperial Period,9,100,300,200,0.5
1092,,A,Archaic Period,6,-500,-350,150,0.1
1092,,A,Republican Period,7,-350,-30,320,0.1
1093,,A,Late Iron Age,5,-700,-580,120,0.2
1093,,A,Archaic Period,6,-580,-500,80,0.2
1094,,A,Late Iron Age,5,-600,-580,20,0.60000002
1094,,A,Archaic Period,6,-580,-500,80,0.60000002
1094,,B,Republican Period,7,-200,-30,170,0.60000002
1094,,B,Early Imperial Period,8,-30,100,130,0.60000002
1094,,B,Mid-Imperial Period,9,100,300,200,0.60000002
1095,,A,Late Iron Age,5,-600,-580,20,0.40000001
1095,,A,Archaic Period,6,-580,-500,80,0.40000001
1095,,B,Republican Period,7,-200,-30,170,0.40000001
